Time (s),Frequency (Hz),Intensity (dB)
0.13837837837837838,86.71875,-313.0712
0.13837837837837838,93.9453125,-313.0712
0.13837837837837838,101.171875,-313.0712
0.13837837837837838,108.3984375,-313.0712
0.13837837837837838,115.625,-313.0712
0.13837837837837838,122.8515625,-313.0712
0.13837837837837838,130.078125,-313.0712
0.13837837837837838,137.3046875,-313.0712
0.13837837837837838,144.53125,-313.0712
0.13837837837837838,151.7578125,-313.0712
0.13837837837837838,158.984375,-313.0712
0.13837837837837838,166.2109375,-313.0712
0.13837837837837838,173.4375,-313.0712
0.13837837837837838,180.6640625,-313.0712
0.13837837837837838,187.890625,-313.0712
0.13837837837837838,195.1171875,-313.0712
0.13837837837837838,202.34375,-313.0712
0.13837837837837838,209.5703125,-313.0712
0.13837837837837838,216.796875,-313.0712
0.13837837837837838,224.0234375,-313.0712
0.13837837837837838,231.25,-313.0712
0.13837837837837838,238.4765625,-313.0712
0.13837837837837838,245.703125,-313.0712
0.13837837837837838,252.9296875,-313.0712
0.13837837837837838,260.15625,-313.0712
0.13837837837837838,267.3828125,-313.0712
0.13837837837837838,274.609375,-313.0712
0.13837837837837838,281.8359375,-313.0712
0.13837837837837838,289.0625,-313.0712
0.13837837837837838,296.2890625,-313.0712
0.13837837837837838,303.515625,-313.0712
0.13837837837837838,310.7421875,-313.0712
0.13837837837837838,317.96875,-313.0712
0.13837837837837838,325.1953125,-313.0712
0.13837837837837838,332.421875,-313.0712
0.13837837837837838,339.6484375,-313.0712
0.13837837837837838,346.875,-313.0712
0.13837837837837838,354.1015625,-313.0712
0.13837837837837838,361.328125,-313.0712
0.13837837837837838,368.5546875,-313.0712
0.13837837837837838,375.78125,-313.0712
0.13837837837837838,383.0078125,-313.0712
0.13837837837837838,390.234375,-313.0712
0.13837837837837838,397.4609375,-313.0712
0.13837837837837838,404.6875,-313.0712
0.13837837837837838,411.9140625,-313.0712
0.13837837837837838,419.140625,-313.0712
0.13837837837837838,426.3671875,-313.0712
0.13837837837837838,433.59375,-313.0712
0.13837837837837838,440.8203125,-313.0712
0.13837837837837838,448.046875,-313.0712
0.13837837837837838,455.2734375,-313.0712
0.13837837837837838,462.5,-313.0712
0.13837837837837838,469.7265625,-313.0712
0.13837837837837838,476.953125,-313.0712
0.13837837837837838,484.1796875,-313.0712
0.13837837837837838,491.40625,-313.0712
0.13837837837837838,498.6328125,-313.0712
0.13837837837837838,505.859375,-313.0712
0.13837837837837838,513.0859375,-313.0712
0.13837837837837838,520.3125,-313.0712
0.13837837837837838,527.5390625,-313.0712
0.13837837837837838,534.765625,-313.0712
0.13837837837837838,541.9921875,-313.0712
0.13837837837837838,549.21875,-313.0712
0.13837837837837838,556.4453125,-313.0712
0.13837837837837838,563.671875,-313.0712
0.13837837837837838,570.8984375,-313.0712
0.13837837837837838,578.125,-313.0712
0.13837837837837838,585.3515625,-313.0712
0.13837837837837838,592.578125,-313.0712
0.13837837837837838,599.8046875,-313.0712
0.13837837837837838,607.03125,-313.0712
0.13837837837837838,614.2578125,-313.0712
0.13837837837837838,621.484375,-313.0712
0.13837837837837838,628.7109375,-313.0712
0.13837837837837838,635.9375,-313.0712
0.13837837837837838,643.1640625,-313.0712
0.13837837837837838,650.390625,-313.0712
0.13837837837837838,657.6171875,-313.0712
0.13837837837837838,664.84375,-313.0712
0.13837837837837838,672.0703125,-313.0712
0.13837837837837838,679.296875,-313.0712
0.13837837837837838,686.5234375,-313.0712
0.13837837837837838,693.75,-313.0712
0.13837837837837838,700.9765625,-313.0712
0.13837837837837838,708.203125,-313.0712
0.13837837837837838,715.4296875,-313.0712
0.13837837837837838,722.65625,-313.0712
0.13837837837837838,729.8828125,-313.0712
0.13837837837837838,737.109375,-313.0712
0.13837837837837838,744.3359375,-313.0712
0.13837837837837838,751.5625,-313.0712
0.13837837837837838,758.7890625,-313.0712
0.13837837837837838,766.015625,-313.0712
0.13837837837837838,773.2421875,-313.0712
0.13837837837837838,780.46875,-313.0712
0.13837837837837838,787.6953125,-313.0712
0.13837837837837838,794.921875,-313.0712
0.13837837837837838,802.1484375,-313.0712
0.13837837837837838,809.375,-313.0712
0.13837837837837838,816.6015625,-313.0712
0.13837837837837838,823.828125,-313.0712
0.13837837837837838,831.0546875,-313.0712
0.13837837837837838,838.28125,-313.0712
0.13837837837837838,845.5078125,-313.0712
0.13837837837837838,852.734375,-313.0712
0.13837837837837838,859.9609375,-313.0712
0.13837837837837838,867.1875,-313.0712
0.13837837837837838,874.4140625,-313.0712
0.13837837837837838,881.640625,-313.0712
0.13837837837837838,888.8671875,-313.0712
0.13837837837837838,896.09375,-313.0712
0.13837837837837838,903.3203125,-313.0712
0.13837837837837838,910.546875,-313.0712
0.13837837837837838,917.7734375,-313.0712
0.13837837837837838,925.0,-313.0712
0.13837837837837838,932.2265625,-313.0712
0.13837837837837838,939.453125,-313.0712
0.13837837837837838,946.6796875,-313.0712
